# x_original y_original y_fitted
61.827200 2.696329e-21 4.909238e-20
61.923400 2.727899e-21 4.918802e-20
62.019600 2.759611e-21 4.927429e-20
62.115900 2.791427e-21 4.935130e-20
62.212100 2.823312e-21 4.941892e-20
62.308400 2.855223e-21 4.947735e-20
62.404600 2.887117e-21 4.952649e-20
62.500900 2.918949e-21 4.956649e-20
62.597100 2.950670e-21 4.959732e-20
62.693300 2.982229e-21 4.961906e-20
62.789600 3.013572e-21 4.963176e-20
62.885800 3.044644e-21 4.963546e-20
62.982100 3.075386e-21 4.963021e-20
63.078300 3.105737e-21 4.961606e-20
63.174600 3.135635e-21 4.959304e-20
63.270800 3.165013e-21 4.956125e-20
63.367000 3.193806e-21 4.952073e-20
63.463300 3.221944e-21 4.947147e-20
63.559500 3.249358e-21 4.941364e-20
63.655800 3.275976e-21 4.934717e-20
63.752000 3.301726e-21 4.927226e-20
63.848300 3.326536e-21 4.918881e-20
63.944500 3.350334e-21 4.909706e-20
64.040700 3.373048e-21 4.899699e-20
64.137000 3.394607e-21 4.888854e-20
64.233200 3.414943e-21 4.877200e-20
64.329500 3.433989e-21 4.864720e-20
64.425700 3.451681e-21 4.851447e-20
64.522000 3.467958e-21 4.837358e-20
64.618200 3.482765e-21 4.822491e-20
64.714500 3.496050e-21 4.806822e-20
64.810700 3.507766e-21 4.790390e-20
64.906900 3.517872e-21 4.773186e-20
65.003200 3.526334e-21 4.755198e-20
65.099400 3.533125e-21 4.736471e-20
65.195700 3.538223e-21 4.716974e-20
65.291900 3.541617e-21 4.696754e-20
65.388200 3.543299e-21 4.675777e-20
65.484400 3.543274e-21 4.654094e-20
65.580600 3.541550e-21 4.631691e-20
65.676900 3.538147e-21 4.608552e-20
65.773100 3.533089e-21 4.584732e-20
65.869400 3.526411e-21 4.560190e-20
65.965600 3.518153e-21 4.534984e-20
66.061900 3.508361e-21 4.509071e-20
66.158100 3.497090e-21 4.482512e-20
66.254300 3.484399e-21 4.455289e-20
66.350600 3.470352e-21 4.427381e-20
66.446800 3.455018e-21 4.398853e-20
